Time (ms),Name,Value
56866,"DumperJag Current","0.0"
56866,"Climber position ","21.16870880126953"
56867,"Tilter angle ","-2.8799972534179688"
56867,"Drive (left) ","0.0"
56867,"Drive (right) ","-0.0"
56868,"Range Finder ","248.73108000000002"
56966,"DumperJag Current","0.0"
56967,"Climber ","true"
56967,"Tilter ","true"
56967,"Dumper ","true"
56967,"Drive ","true"
57068,"DumperJag Current","0.0"
57068,"Climber position ","21.16870880126953"
57068,"Tilter angle ","-2.8799972534179688"
57170,"Drive (left) ","0.0"
57170,"Drive (right) ","-0.0"
57170,"Range Finder ","248.77176000000003"
57170,"DumperJag Current","0.0"
57403,"Climber ","true"
57403,"Tilter ","true"
57403,"Dumper ","true"
57403,"Drive ","true"
57403,"DumperJag Current","0.0"
57404,"Climber position ","21.16870880126953"
57404,"Tilter angle ","-2.8799972534179688"
57405,"Drive (left) ","0.0"
57405,"Drive (right) ","-0.0"
57405,"Range Finder ","248.77176000000003"
57405,"DumperJag Current","0.0"
57476,"DumperJag Current","0.0"
57477,"Climber ","true"
57477,"Tilter ","true"
57477,"Dumper ","true"
57477,"Drive ","true"
57578,"DumperJag Current","0.0"
57578,"Climber position ","21.16870880126953"
57578,"Tilter angle ","-2.8799972534179688"
57578,"Drive (left) ","0.0"
57579,"Drive (right) ","-0.0"
57579,"Range Finder ","248.77176000000003"
57681,"DumperJag Current","0.0"
57681,"Climber ","true"
57681,"Tilter ","true"
57681,"Dumper ","true"
57682,"Drive ","true"
57781,"DumperJag Current","0.0"
57782,"Climber position ","21.16870880126953"
57782,"Tilter angle ","-2.8799972534179688"
57782,"Drive (left) ","0.0"
57782,"Drive (right) ","-0.0"
57782,"Range Finder ","248.73108000000002"
57883,"DumperJag Current","0.0"
57883,"Climber ","true"
57883,"Tilter ","true"
57883,"Dumper ","true"
57883,"Drive ","true"
57983,"DumperJag Current","0.0"
57984,"Climber position ","21.16870880126953"
57984,"Tilter angle ","-2.8799972534179688"
57984,"Drive (left) ","0.0"
57984,"Drive (right) ","-0.0"
57984,"Range Finder ","248.73108000000002"
58085,"DumperJag Current","0.0"
58085,"Climber ","true"
58085,"Tilter ","true"
58085,"Dumper ","true"
58085,"Drive ","true"
58186,"DumperJag Current","0.0"
58186,"Climber position ","21.16870880126953"
58186,"Tilter angle ","-2.8799972534179688"
58187,"Drive (left) ","0.0"
58187,"Drive (right) ","-0.0"
58187,"Range Finder ","248.77176000000003"
58286,"DumperJag Current","0.0"
58287,"Climber ","true"
58287,"Tilter ","true"
58287,"Dumper ","true"
58287,"Drive ","true"
58387,"DumperJag Current","0.0"
58388,"Climber position ","21.16870880126953"
58388,"Tilter angle ","-2.8799972534179688"
58488,"Drive (left) ","0.0"
58488,"Drive (right) ","-0.0"
58488,"Range Finder ","248.77176000000003"
58488,"DumperJag Current","0.0"
58590,"Climber ","true"
58590,"Tilter ","true"
58591,"Dumper ","true"
58591,"Drive ","true"
58591,"DumperJag Current","0.0"
58692,"Climber position ","21.16870880126953"
58692,"Tilter angle ","-2.8799972534179688"
58692,"Drive (left) ","0.0"
58692,"Drive (right) ","-0.0"
58692,"Range Finder ","248.77176000000003"
58693,"DumperJag Current","0.0"
58795,"DumperJag Current","0.0"
58795,"Climber ","true"
58795,"Tilter ","true"
58795,"Dumper ","true"
58796,"Drive ","true"
58892,"DumperJag Current","0.0"
58893,"Climber position ","21.16870880126953"
58893,"Tilter angle ","-2.8799972534179688"
58893,"Drive (left) ","0.0"
58893,"Drive (right) ","-0.0"
58893,"Range Finder ","248.73108000000002"
58996,"DumperJag Current","0.0"
58996,"Climber ","true"
58996,"Tilter ","true"
58996,"Dumper ","true"
58996,"Drive ","true"
59098,"DumperJag Current","0.0"
59098,"Climber position ","21.16870880126953"
59099,"Tilter angle ","-2.8799972534179688"
59099,"Drive (left) ","0.0"
59099,"Drive (right) ","-0.0"
59099,"Range Finder ","248.77176000000003"
59199,"DumperJag Current","0.0"
59200,"Climber ","true"
59200,"Tilter ","true"
59200,"Dumper ","true"
59200,"Drive ","true"
59302,"DumperJag Current","0.0"
59303,"Climber position ","21.16870880126953"
59303,"Tilter angle ","-2.8799972534179688"
59303,"Drive (left) ","0.0"
59303,"Drive (right) ","-0.0"
59303,"Range Finder ","248.77176000000003"
59405,"DumperJag Current","0.0"
59405,"Climber ","true"
59405,"Tilter ","true"
59405,"Dumper ","true"
59405,"Drive ","true"
59504,"DumperJag Current","0.0"
59504,"Climber position ","21.16870880126953"
59504,"Tilter angle ","-2.8799972534179688"
59504,"Drive (left) ","0.0"
59504,"Drive (right) ","-0.0"
59504,"Range Finder ","248.73108000000002"
59605,"DumperJag Current","0.0"
59605,"Climber ","true"
59605,"Tilter ","true"
59605,"Dumper ","true"
59605,"Drive ","true"
59707,"DumperJag Current","0.0"
59707,"Climber position ","21.16870880126953"
59707,"Tilter angle ","-2.8799972534179688"
59808,"Drive (left) ","0.0"
59808,"Drive (right) ","-0.0"
59808,"Range Finder ","248.77176000000003"
59808,"DumperJag Current","0.0"
59909,"Climber ","true"
59909,"Tilter ","true"
59909,"Dumper ","true"
59909,"Drive ","true"
59909,"DumperJag Current","0.0"
60011,"Climber position ","21.16870880126953"
60011,"Tilter angle ","-2.8799972534179688"
60011,"Drive (left) ","0.0"
60011,"Drive (right) ","-0.0"
60011,"Range Finder ","248.77176000000003"
60011,"DumperJag Current","0.0"
60111,"DumperJag Current","0.0"
60112,"Climber ","true"
60112,"Tilter ","true"
60112,"Dumper ","true"
60112,"Drive ","true"
60215,"DumperJag Current","0.0"
60215,"Climber position ","21.16870880126953"
60215,"Tilter angle ","-2.8799972534179688"
60215,"Drive (left) ","0.0"
60216,"Drive (right) ","-0.0"
60216,"Range Finder ","248.73108000000002"
60319,"DumperJag Current","0.0"
60319,"Climber ","true"
60319,"Tilter ","true"
60319,"Dumper ","true"
60319,"Drive ","true"
60419,"DumperJag Current","0.0"
60420,"Climber position ","21.16870880126953"
60420,"Tilter angle ","-2.8799972534179688"
60420,"Drive (left) ","0.0"
60420,"Drive (right) ","-0.0"
60420,"Range Finder ","248.73108000000002"
60521,"DumperJag Current","0.0"
60521,"Climber ","true"
60522,"Tilter ","true"
60522,"Dumper ","true"
60522,"Drive ","true"
60622,"DumperJag Current","0.0"
60623,"Climber position ","21.16870880126953"
60623,"Tilter angle ","-2.8799972534179688"
60623,"Drive (left) ","0.0"
60623,"Drive (right) ","-0.0"
60623,"Range Finder ","248.77176000000003"
60723,"DumperJag Current","0.0"
60723,"Climber ","true"
60723,"Tilter ","true"
60724,"Dumper ","true"
60724,"Drive ","true"
60824,"DumperJag Current","0.0"
60825,"Climber position ","21.16870880126953"
60825,"Tilter angle ","-2.8799972534179688"
60825,"Drive (left) ","0.0"
60825,"Drive (right) ","-0.0"
60825,"Range Finder ","248.77176000000003"
60925,"DumperJag Current","0.0"
60926,"Climber ","true"
60926,"Tilter ","true"
60926,"Dumper ","true"
60926,"Drive ","true"
61026,"DumperJag Current","0.0"
61026,"Climber position ","21.16870880126953"
61026,"Tilter angle ","-2.8799972534179688"
61127,"Drive (left) ","0.0"
61127,"Drive (right) ","-0.0"
61127,"Range Finder ","248.77176000000003"
61127,"DumperJag Current","0.0"
61228,"Climber ","true"
61228,"Tilter ","true"
61228,"Dumper ","true"
61229,"Drive ","true"
61229,"DumperJag Current","0.0"
61330,"Climber position ","21.16870880126953"
61330,"Tilter angle ","-2.8799972534179688"
61330,"Drive (left) ","0.0"
61330,"Drive (right) ","-0.0"
61330,"Range Finder ","248.77176000000003"
61330,"DumperJag Current","0.0"
61430,"DumperJag Current","0.0"
61431,"Climber ","true"
61431,"Tilter ","true"
61431,"Dumper ","true"
61431,"Drive ","true"
61531,"DumperJag Current","0.0"
61532,"Climber position ","21.16870880126953"
61532,"Tilter angle ","-2.8799972534179688"
61532,"Drive (left) ","0.0"
61532,"Drive (right) ","-0.0"
61532,"Range Finder ","248.77176000000003"
61634,"DumperJag Current","0.0"
61635,"Climber ","true"
61635,"Tilter ","true"
61635,"Dumper ","true"
61635,"Drive ","true"
61739,"DumperJag Current","0.0"
61739,"Climber position ","21.16870880126953"
61739,"Tilter angle ","-2.8799972534179688"
61739,"Drive (left) ","0.0"
61739,"Drive (right) ","-0.0"
61740,"Range Finder ","248.81244"
61841,"DumperJag Current","0.0"
61842,"Climber ","true"
61842,"Tilter ","true"
61842,"Dumper ","true"
61842,"Drive ","true"
61942,"DumperJag Current","0.0"
61943,"Climber position ","21.16870880126953"
61943,"Tilter angle ","-2.8799972534179688"
61943,"Drive (left) ","0.0"
61943,"Drive (right) ","-0.0"
61943,"Range Finder ","248.73108000000002"
62043,"DumperJag Current","0.0"
62043,"Climber ","true"
62044,"Tilter ","true"
62044,"Dumper ","true"
62044,"Drive ","true"
62144,"DumperJag Current","0.0"
62145,"Climber position ","21.16870880126953"
62145,"Tilter angle ","-2.8799972534179688"
62167,"Drive (left) ","0.0"
62167,"Drive (right) ","-0.0"
62168,"Range Finder ","248.77176000000003"
62245,"DumperJag Current","0.0"
62245,"Climber ","true"
62245,"Tilter ","true"
62245,"Dumper ","true"
62245,"Drive ","true"
62346,"DumperJag Current","0.0"
62346,"Climber position ","21.16870880126953"
62346,"Tilter angle ","-2.8799972534179688"
62448,"Drive (left) ","0.0"
62448,"Drive (right) ","-0.0"
62448,"Range Finder ","248.73108000000002"
62448,"DumperJag Current","0.0"
62548,"Climber ","true"
62548,"Tilter ","true"
62548,"Dumper ","true"
62548,"Drive ","true"
62548,"DumperJag Current","0.0"
62649,"Climber position ","21.16870880126953"
62649,"Tilter angle ","-2.8799972534179688"
62649,"Drive (left) ","0.0"
62649,"Drive (right) ","-0.0"
62650,"Range Finder ","248.77176000000003"
62650,"DumperJag Current","0.0"
62750,"DumperJag Current","0.0"
62750,"Climber ","true"
